School,White,American Indian,Black,Asian,Hispanic/Latino,Native Hawaiian,Two or More
,%,%,%,%,%,%,%
Adams,77.9,0,2.3,9.6,4.9,0,5.4
Arnold,57.1,1.5,8.4,1.5,19.2,0.3,12
Beattie,73.6,0.5,3.3,1.1,8.2,0,13.3
Belmont,42.4,0.9,15.7,2.2,26.9,0,11.8
Brownell,65.9,0,4.9,0.3,14.8,0,14.1
Calvert,62.9,1.2,7.1,1.5,12,0,15.3
Campbell,46.6,0.4,14.3,11.3,16.6,0,10.9
Cavett,77,0.5,2.9,4,8.9,0,6.6
Clinton,39.2,0.3,24.3,4.7,21,0,10.5
Eastridge,72.9,1,4.5,1.4,10.3,0,10
Elliott,23.3,1.8,13.7,12.8,33.7,0.3,14.3
Everett,27.8,0.9,13.5,9.9,40.4,0,7.5
Fredstrom,74,0.5,1.7,3.6,9.7,0,10.4
Hartley,37.5,2.3,17.5,3.6,25.9,1,12.3
Hill,72.2,0.5,4.8,5.3,10.3,0,7
Holmes,70.7,0,3.5,3.5,10.1,0.3,11.9
Humann,78.8,0.6,4.2,1.3,5.9,0,9.3
Huntington,45,0.6,12,1.5,24.6,0,16.2
Kahoa,78.8,0.4,3.9,2.6,6.7,0,7.6
Kloefkorn,83.7,0.7,1.5,4.4,5.3,0,4.4
Lakeview,53,0.8,9.3,3.8,22.8,0,10.5
Maxey,75.9,0.3,1.2,13.5,3.4,0.2,5.5
McPhee,26.8,1.4,16.3,12.7,35.9,0,6.9
Meadow Lane,72.1,0.2,2.8,2.6,13.8,0,8.6
Morley,78.1,0.2,3.8,0.2,7.4,0.5,9.7
Norwood Park,68,0,4.4,2.4,18.9,0,6.3
Pershing,57.5,0.5,6.6,3.3,20.6,0,11.5
Prescott,44.9,0.9,13.8,7.3,18.8,0.5,13.8
Pyrtle,78.9,0,1.9,2.6,10,0,6.7
Randolph,61.4,0.9,5.6,3.7,16.4,0.5,11.4
Remote Lrng,45.8,0,16.7,5.4,17.2,0,14.8
Riley,49.5,0.6,6.9,3.4,22.7,0,16.8
Roper,53.5,0.4,9.9,6.9,21.2,0,8.1
Rousseau,72.9,0.2,4,3.4,7,0.2,12.2
Saratoga,48.5,1.5,7.8,3.4,26.2,0,12.6
Sheridan,86,0.2,1.5,0.5,4.9,0,6.9
West Lincoln,37,0.4,9.7,2.4,41.2,0,9.3
Wysong,89.9,0,0.1,2.2,3.8,0,3.9
Zeman,63,0.9,4.8,3,16.1,0,12.3
Culler,39.4,1,14.7,7.1,27.3,0.1,10.5
Dawes,55,0.3,8.3,2.3,19.8,0,14.3
Goodrich,42.9,1.1,13,4,29.5,0,9.5
Irving,62.7,0.8,6.5,3.2,14.3,0,12.5
Lefler,57.9,0.7,9.5,4.7,15.8,0.2,11.3
Lux,80,0.1,2.7,3.8,7.2,0.1,6.1
Mickle,70.9,0.1,2.8,1.5,11.8,0,12.8
Moore,86.4,0.6,0.6,4.3,3.4,0,4.6
Park,41.2,0.6,11.9,6.7,30.1,0.2,9.2
Pound,67.6,0.6,4.6,2.4,12.4,0.1,12.3
Remote Lrng,52.4,0.7,12.6,2.8,21,0,10.5
Schoo,63.9,0.4,7.2,5,12.1,0.1,11.1
Scott,77.7,0.2,3.2,4.6,7.2,0,7.1
East,78.7,0.2,2.2,4.6,8.4,0,5.8
Lincoln High,42.6,1.7,11.9,8.9,23.3,0.1,11.5
North Star,54.9,0.4,8.7,6.5,21.5,0,7.9
Northeast,59.4,1.3,9.7,2.4,17.1,0.2,10
Southeast,73.4,1.1,3.8,1.2,10.6,0.3,9.6
Southwest,76.8,0.2,3.9,3.8,9.6,0,5.7
TOTAL,62.6,0.5,7,4.2,15.7,0.1,9.9
